GeneSymbol	S08_Treat_F	S10_Treat_F	S12_Cont_M	S13_Cont_M	S14_Cont_M	S15_Treat_F	S16_Treat_M	S20_Treat_F	S21_Cont_M	S22_Treat_F	S24_Treat_M	S25_Cont_M	S26_Treat_F	S27_Cont_F	S28_Treat_F	S30_Cont_M	S31_Treat_M	S32_Cont_F	S33_Cont_M
UQCR10	72.1346252460036	51.75068981379	42.3876412890018	48.7348394218322	45.6890025600516	43.4440441707447	40.2368342813521	54.2810970878107	63.2248055303116	84.6352224265863	66.7838049155849	88.8989715972493	74.2688670943179	57.1226624014614	89.7109231746436	77.0584260948196	80.1154187040611	60.6865011445565	68.3675891865037
UQCRH	152.529456070023	151.025014670081	93.8806092650829	122.209872935521	151.346232543172	89.8175744460216	94.497828999029	169.788934063392	151.578603720455	166.508413959336	137.197693369402	200.122602488037	99.1211934726937	156.846371563753	205.182669880361	208.421643800241	157.567376690717	130.442237814109	138.191529157481
URB1	45.3721643460138	38.2129956129575	50.2926522470222	43.9058287667485	44.5002656344273	36.9757638620022	56.2620969053309	44.4138834241805	42.9630001369274	49.4875927361294	41.3159972004449	41.6301864411909	45.0581555877673	54.131325990196	43.7414165504122	46.4595837586825	43.73119638849	55.5837804528923	49.7538495064193
URB2	16.8945347044935	20.1839763626836	20.9927783751469	17.6568721090157	17.4104065396899	12.7343206150062	18.49255895263	16.7317030444277	17.9574308614658	19.9887889382213	17.3071066496038	17.1514943431651	18.2503864577839	21.2419490584432	17.2417590216079	16.8748755556692	21.3787213341262	24.5231019960934	19.823465730739
URI1	118.307925369554	110.745195562583	126.848701639976	114.785247562062	135.907178120549	151.20238074211	140.152480192077	123.963934754398	119.638544430609	128.999582061578	130.586937915607	112.566749130642	140.792706115574	119.345488793825	109.20360459056	114.189036124242	114.223937044645	122.539722795081	126.208272571428
UROC1	1.24106079968927	0.594932832981044	0.324925990897796	0.889499250244521	1.37683760882431	0.239407421459287	1.27153708994302	0.754623307807512	0.790965175424878	1.02692276506202	0.403737783840583	1.18967146089052	1.19527060323066	1.37145257853599	0.476857185824397	0.343019032300607	1.43606377778453	0.92142761600286	0.815826073354927
UROD	16.1142976050007	21.7115412288916	13.6602926525437	16.1915923702703	14.9047723008373	12.7600097002032	12.2777236513835	23.0515141097409	17.0155105723443	15.5170026814193	16.3059097589964	16.6055722548446	17.6806233187273	16.2314579659439	18.7239947412665	20.7242511631741	17.4846905988581	17.7893347822543	16.526392212467
UROS	45.6005351663712	49.3814469110129	47.8535645669052	53.8262885951879	56.1347524438669	43.7606196287607	52.7439680291738	48.8735426260382	39.4284169451722	41.0224205300053	50.3461406991121	51.7833048404718	49.9804214461483	42.3363995639949	44.313841042489	44.0955503757899	49.1606092968666	42.6095331595757	50.6611348111511
USB1	15.2402686719577	16.2166975050065	13.0888055537318	17.2236555999283	14.7794418924182	11.3224569480492	14.2547699441193	20.8104351415071	15.6241398069375	16.958329776598	16.9276112171069	17.4897206321748	14.9035958423362	14.4710739433226	16.3941217370768	17.4946740710976	15.6509337295376	16.6450853236892	15.4933134436138
USE1	30.7488156951582	30.984528898355	31.6459380725975	30.8770935187392	38.6161414718517	30.146315840188	34.6199486318022	33.5141926157124	29.1123488322266	35.8378787966341	32.1249895694951	31.3972696564167	37.7270596578724	30.480042422536	31.1212317897367	31.8668584047872	33.9242853445631	34.6591037336508	28.8678453345263
USF1	29.7851690077441	51.1352375443354	16.9524294233498	23.2648547188309	25.5567001606218	11.8961284624875	19.7358775650109	47.0132291257716	28.0015207513235	30.3372435565603	27.0313922773324	34.4003447642587	23.7176038176155	35.0998307528935	34.5314660040099	33.6245267070064	30.0548499833438	28.6342408462227	29.9982534745045
USF3	31.1438145243857	23.8312754043831	31.6391081289854	27.4278921348262	29.0395100721312	23.3512515708956	34.9282856593181	30.8032178488995	30.6749213076766	31.7383707514865	30.0078497056216	31.3135761585934	32.2948914521007	33.9513508631026	28.662414727896	30.2247118659779	31.7594774524116	36.0356642498377	34.3725624366235
