GeneSymbol	astrocyte	ependymal cell	oligodendrocyte	neuron	endothelial cell	microglial cell	fibroblast	mural cell
ERRFI1	38.82739169040279847	39.72502264807686601	30.56105000983953701	24.87418800997788892	44.43018171776288483	18.93113889607106870	134.24384827886723315	186.29652714827363980
ESAM	3.27989905859727848	25.73271838675472623	3.48158466225513807	4.80208780809849589	354.98856655280019368	5.91515921225482533	0.00000000000000000	194.22320838447302549
ESR1	5.90559798087652776	9.54582615949379765	1.59487040599237750	12.78425617141827253	16.56877110964111921	14.14568396925726468	36.72414153593115316	1.44590021284579962
ESR2	12.36642208466214576	90.52212789119046477	7.49436059638787988	31.28618273267369432	112.90373492700474856	3.21457787708166887	0.00000000000000000	42.86551552587496161
ETF1	79.98945410423537794	139.95249125362141740	74.00154475169439650	83.40898671591260438	87.78939642008565158	142.31605044448141939	60.20414882348582353	147.04174312883000653
ETFB	62.58174119981904227	121.08071685786518401	63.19563268013865098	25.15002427509474003	129.50831692758822555	19.94690460389157849	0.00000000000000000	98.90413912258554774
ETS1	30.14331519448716179	0.00000000000000000	49.06451429691649224	10.51007111846563014	480.19837336593298005	87.89892224941766585	224.85300528064817627	347.68532680898329090
ETS2	13.14003046943844843	39.38459022423123201	9.52459753957801958	34.67555275050333563	481.08730550153615013	196.06328157357765463	161.22560844000400948	118.15749962907035808
ETV1	106.53800295234069040	27.03711350379003164	67.24490231276058694	42.26367713081421584	37.06721096459879305	16.93804279514374755	202.77353710332511127	76.38427753888313987
ETV5	28.51644772887893353	0.00000000000000000	72.07215544818885178	23.46312983349280756	0.00000000000000000	230.91202948822189001	119.22484933452388134	66.87803394431458059
EVC2	65.68327491988331701	30.70887831300670712	4.80928934421750576	9.32816252178812810	79.64931905844191817	2.74615173576868576	117.90318940563689409	52.88843757383308741
EVI2A	2.83402115095557239	0.00000000000000000	22.76125737015609829	1.16330080494986787	0.00000000000000000	6.60679857260746406	122.25793130303509315	0.00000000000000000
EXD2	46.69824952914011362	44.52656118160140153	43.41873309393356806	67.37469608788946118	39.61909442548932248	41.42047282228595151	80.70601999866964604	38.03666702855044690
EXD3	56.03472791886252935	76.98244875411563726	33.72275723271460635	40.76929052977516932	45.25938559427298458	58.63479701255296561	15.75248687936647052	39.10179741192656167
EXOC7	104.71964365845751388	122.11201252892458058	104.89128568599880964	93.96000183608268230	73.54185697347929818	55.88225849672682699	126.69838031782883547	100.76545356841847934
EXTL2	106.19026938491235512	199.84627911854761351	73.63728517693016329	94.02863320187650231	85.71149842864977586	56.34309174212759075	110.58537880330005976	72.23549183578032284
EXTL3	77.79711920240103495	87.07924478295038284	119.01019781858256863	112.75838439606168606	39.37817503292714605	59.02062601794815322	128.46044547899697363	144.96782569962167031
EYA1	138.64497597733395651	149.24640909217816898	12.57247337636778539	24.28638520348996721	61.09736766439265665	1.38028704825808268	177.62789474781618537	97.22612704479965373
EYA2	202.55941715539702841	0.00000000000000000	23.88909361893102101	29.45799970685400382	65.59053046010957644	28.47812538792541659	25.57350372089460322	70.61660058495751002
EYA4	12.21172862850811214	219.75636595936572348	35.48796017786835932	7.74362011119619176	17.08538193833249963	4.70522282896391264	2.85575476282953122	2.28169863295815611
EZR	212.98361552557832965	364.81330973611659374	12.64057199960356037	25.05293762802977753	330.54355861001994299	64.76617203851068894	108.94288077197418829	127.67410094584171532
F3	283.22310698425121700	0.00000000000000000	16.01455771252141957	21.76400120518837866	113.16752013379255004	4.16452981808199940	911.34408227023743621	69.85123837713595663
F5	44.38572290667686104	124.32613301533028505	4.85814917790597800	12.23626155763928480	41.00373347524797651	2.31708924636611480	25.17765206872259043	15.67743618861390509
FA2H	5.74772424841326934	0.00000000000000000	53.29972386529173889	3.14654648425096584	0.00000000000000000	2.82280533961600488	319.57811733315935498	0.00000000000000000
FAAH2	39.44605861521195322	0.00000000000000000	39.18300206010099629	95.37452638538238148	0.00000000000000000	11.27190706348730487	68.96068422344318094	35.46908650369275762
FABP5	252.99780492729118464	662.29469413316269311	114.76426933037029698	254.23878479249225393	585.32701352811875495	65.70750235588836574	165.86055175427568997	273.53521739566917859
FAIM2	91.38677540353288009	124.53463746875365814	154.18546476446056204	232.49345792200642791	23.12446837824473178	51.58798195819083787	0.00000000000000000	98.93800035162952611
FAM107A	87.65379010292072337	18.53238378784238449	4.92790406432200268	16.06445111895148870	298.71155547441020417	3.03453781929425004	62.57099228675138392	22.69692878480129750
FAM107B	71.10258416350832533	0.00000000000000000	476.34074431736132738	55.35972900230184024	396.48959860653565102	65.68024536817475223	2517.49222796338790431	0.00000000000000000
FAM117B	61.47529909239207058	69.03475729139961459	76.79424984890772521	142.96167795646451282	147.38190251969473366	121.43004297181499851	148.26990628634737845	82.75952887751712694
FAM129A	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000
FAM129B	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000
FAM135B	141.28245292576278302	61.64895621939260195	53.93570806156287745	140.65419245019486993	11.10451019168543851	14.95732131850670932	153.53054621524071877	49.38550637560962997
FAM13C	111.96359178479104912	71.08248666086917922	231.38273685153569659	72.23490290842629236	287.64481925869705492	35.84372199263393810	547.09365973050694265	42.54299452330747044
FAM149A	25.96125206796501672	0.00000000000000000	12.61215394824769831	37.72161911688480274	0.00000000000000000	359.49401112557609395	152.49883667093286022	13.40751052602137960
FAM161A	17.45433626707750463	50.49078294818732360	27.00891115181014968	24.64414889543606790	0.00000000000000000	0.00000000000000000	31.41398581233642417	16.80207553231506168
FAM169A	109.29383141648004596	104.48381702192392595	123.97629150977739698	178.32228156707091671	34.92760259112613852	23.84931456726990007	50.89992173441496703	59.48873493561306702
FAM171B	319.66420469269729665	97.42788796584655131	166.28856501445324056	254.05492481280859352	106.70190231755989885	37.12557447800077881	269.13749422813270940	112.41658285823501728
FAM173B	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000
FAM174A	18.07868958502486123	112.66809751877039503	22.86622550076301152	61.02692161625021328	37.69640032487509274	23.60448750311491750	0.00000000000000000	31.20687608849222272
FAM174B	84.12544986967425586	142.60757275884014916	113.28565028921461533	81.35909926142322490	129.73431386965791035	75.75388385845590733	170.29422475696389938	78.42707356314258504
FAM181B	88.43962085224114844	27.36884348799821609	40.42966321923257311	8.64197760383105695	0.00000000000000000	7.53934767560009256	22.56400867596101989	37.08419901370744043
FAM184A	141.17081228201010390	199.76723753363225455	42.97122354462980098	95.64453466335784526	27.68215987850058468	12.47608049169228117	128.57500294378297667	54.95678299429828684
FAM184B	15.40623104897946227	3.99245983919442482	29.11753255809321317	39.46625889742458071	36.26379045868017670	10.57990888810895669	0.00000000000000000	6.78539036415591124
FAM185A	29.90581556636626814	36.26658518660973129	26.90821099877041789	36.97066218212237487	46.05314731723137101	26.01706374772286523	33.33721579031383442	26.19027814519998998
FAM188B	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000
FAM196B	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000
FAM198A	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000
FAM198B	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000
FAM19A1	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000
FAM19A2	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000
FAM19A4	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000
FAM19A5	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000
FAM20A	3.05918612794120692	7.30644046426661564	2.81369427291352681	6.53417678849699257	9.29360813850936829	30.19877119848784019	251.06043571713871643	71.44025172728089501
FAM20B	53.85992644116192452	62.31167546221806219	64.63724323385947912	72.78272441672575610	53.42609140757018338	65.64363744915856103	108.32952113091917568	83.31066326604690175
FAM20C	175.89303748782455727	95.34631896150789032	103.18128257965295802	76.95118347809513182	106.01343802287649964	163.28855943399076978	127.60315095228676796	219.83064035905226774
FAM222A	17.56209350239959122	0.00000000000000000	67.65699471503064899	15.59295973930515800	33.68460888223142291	8.94630849988572585	240.45903336090177049	0.00000000000000000
FAM234A	72.56677947636040926	95.29013766364323601	91.58030768132931598	55.22977919678665870	92.38812345423077943	36.81488797809429059	95.68529198945566350	79.45688368001692936
FAM53B	51.94106340502035124	0.00000000000000000	136.71764786592441965	26.11642660289492923	51.04065964962640578	126.89349916832503595	367.09966839021217311	26.85795477022361410
FAM60A	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000
FAM65A	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000
